"Timestamp","Wenn Sie mit dem Empfehlungsprozess zum ersten Szenario fertig sind, tragen Sie bitte den Code, den Sie am Ende erhalten, hier ein. (Prüfen Sie, dass vor und hinter dem Code keine Leerzeichen stehen)","Würden Sie die empfohlene Technik anwenden, wenn Sie sich tatsächlich in der in Szenario 1 beschriebenen Situation befänden?","Sie haben die Möglichkeit statt der für Szenario 1 empfohlenen Kreativitätstechnik eine andere Technik aus der folgenden Liste zu wählen. Würden Sie lieber die empfohlene Technik oder eine Technik aus der Liste anwenden? (Link zur Liste: https://www.ideaclouds.net/kreativitätstechniken)","Wenn Sie mit dem Empfehlungsprozess zum zweiten Szenario fertig sind, tragen Sie bitte den Code, den Sie am Ende erhalten, hier ein. (Prüfen Sie, dass vor und hinter dem Code keine Leerzeichen stehen)","Würden Sie die empfohlene Technik anwenden, wenn Sie sich tatsächlich in der in Szenario 2 beschriebenen Situation befänden?","Sie haben die Möglichkeit statt der für Szenario 2 empfohlenen Kreativitätstechnik eine andere Technik aus der folgenden Liste zu wählen. Würden Sie lieber die empfohlene Technik oder eine Technik aus der Liste anwenden? (Link zur Liste: https://www.ideaclouds.net/kreativitätstechniken)","Wenn Sie mit dem Empfehlungsprozess zum dritten Szenario fertig sind, tragen Sie bitte den Code, den Sie am Ende erhalten, hier ein. (Prüfen Sie, dass vor und hinter dem Code keine Leerzeichen stehen)","Würden Sie die empfohlene Technik anwenden, wenn Sie sich tatsächlich in der in Szenario 3 beschriebenen Situation befänden?","Sie haben die Möglichkeit statt der für Szenario 3 empfohlenen Kreativitätstechnik eine andere Technik aus der folgenden Liste zu wählen. Würden Sie lieber die empfohlene Technik oder eine Technik aus der Liste anwenden? (Link zur Liste: https://www.ideaclouds.net/kreativitätstechniken)","Ich denke, dass ich das System gerne häufig benutzen würde.","Ich fand das System unnötig komplex.","Ich fand das System einfach zu benutzen.","Ich glaube, ich würde die Hilfe einer technisch versierten Person benötigen, um das System benutzen zu können.","Ich fand, die verschiedenen Funktionen in diesem System waren gut integriert.","Ich denke, das System enthielt zu viele Inkonsistenzen.","Ich kann mir vorstellen, dass die meisten Menschen den Umgang mit diesem System sehr schnell lernen.","Ich fand das System sehr umständlich zu nutzen.","Ich fühlte mich bei der Benutzung des Systems sehr sicher.","Ich musste eine Menge lernen, bevor ich anfangen konnte das System zu verwenden.","Hier können Sie mir Kommentare, Anregungen und Verbesserungsvorschläge geben","Welches Geschlecht haben Sie?","Wie alt sind Sie?","Wie viele Jahre Berufserfahrung haben Sie insgesamt?","Was ist Ihr Beruf?","Was ist Ihr höchster Bildungsabschluss?","Haben Sie bereits Erfahrung mit Kreativitätstechniken? Falls ja, mit welchen?","Wie schätzen Sie Ihre Erfahrung mit Kreativitätstechniken ein?"
"2017/10/16 8:33:56 pm CET","HKYLSAGn","Ja","Ich möchte die empfohlene Technik behalten","bmaR8bOG","Ja","Ich möchte die empfohlene Technik behalten","ITbFWyHv","Nein","Ich möchte die empfohlene Technik behalten","3","2","4","1","3","2","4","2","5","1","","Weiblich","21","1","Motion Graphics","Bachlor","SWOT, 6-Hüte, Ubertreibung, Walt Disney, 635","Gelegentliche Anwendung von Kreativitätstechniken"
"2017/10/17 3:16:48 pm CET","zqjWCoy6","Nein","Ich möchte die empfohlene Technik behalten","Ymz6G82G","Ja","Ich möchte die empfohlene Technik behalten","SBKQTybd","Ja","Ich möchte die empfohlene Technik behalten","3","3","3","1","4","3","4","2","4","1",".","Männlich","24","0.583","7 Monate Werkstudent JEE Entwickler","Bachlor","Ja, die Hütetechnik kannte ich aus einer Vorlesung und die verschiedenen Scrumtechniken wenden wir in der Arbeit an. Meiner Meinung nach führen diese aber oft zu mehr Hindernissen, insofern kein extrem gutes Teamklima herrscht und die Sozialkompetenz der Einzelnen nicht höher ist als die des Durchschnittsentwicklers. Scrum wird oft auch schlecht geleitet (auch von zertifizierten ""Scrum Meistern""). In unserem konkreten Fall wurde das Team mehrfach in kleinere Teams zerrissen, um dann mehrere kleine Scrums abzuhalten, statt einem Riesigen ==> Extremer Overhead, der durch fähigen Umgang mit Tools wie Git Issuetrackern und z.B. continuous Integration weitgehend vorgebeugt werden sollte. Ich halte daher Ruheräume, Zeit für eigene firmeninterne Projekte und evtl. Hackathons für sinnvoller. ","Regelmäßige Anwendung von Kreativitätstechniken"
"2017/10/17 5:32:41 pm CET","uMTth6mE","Ja","Ich habe in der Liste eine besser geeignete Technik gefunden","GhONjdQv","Nein","Ich habe in der Liste eine besser geeignete Technik gefunden","S3zHD8uf","Ja","Ich möchte die empfohlene Technik behalten","1","4","2","1","4","3","4","4","2","1","","Männlich","23","","","Bachlor","","Komplette(r) Anfänger(in)"
"2017/10/17 6:11:40 pm CET","86HG11QW","Ja","Ich möchte die empfohlene Technik behalten","4PbcAcX4","Ja","Ich möchte die empfohlene Technik behalten","m5I7rveP","Nein","Ich möchte die empfohlene Technik behalten","2","1","5","1","4","3","4","2","3","1","","Weiblich","22","0","","Gymnasium","","Grobe Vorstellung davon, was Kreativitätstechniken sind und wie man diese anwendet"
"2017/10/17 7:19:00 pm CET","wxNeomFC","Ja","Ich möchte die empfohlene Technik behalten","CnKQEJ4v","Ja","Ich möchte die empfohlene Technik behalten","dZLPLljv","Ja","Ich möchte die empfohlene Technik behalten","3","3","5","1","5","1","4","1","5","1","","Weiblich","50","32","Industriekauffrau","Gymnasium","","Komplette(r) Anfänger(in)"
"2017/10/19 7:08:46 pm CET","WH09UNYh","Ja","Ich möchte die empfohlene Technik behalten","k6Y3EnjS","Ja","Ich möchte die empfohlene Technik behalten","tmh3leIX","Ja","Ich möchte die empfohlene Technik behalten","3","4","1","5","3","3","1","3","3","5"," “Otto Normalverbraucher“ benötigt Hilfestellung zu diesem sehr komplexen Themen. Zu viele Fremdwörter, zum Teil ist die Fragestellung schwer zu verstehen.","Männlich","51","36","Vertrieb","Hauptschule","","Komplette(r) Anfänger(in)"
"2017/10/22 7:12:21 pm CET","xP3q1LxV","Ja","Ich möchte die empfohlene Technik behalten","bIEyjg0i","Nein","","ndYtng7k","Ja","","4","1","5","2","4","1","4","1","5","1","","Männlich","56","40","UW","Diplom","Brainstorming","Gelegentliche Anwendung von Kreativitätstechniken"
"2017/10/23 6:13:03 pm CET","x6YNDPyi","Ja","Ich möchte die empfohlene Technik behalten","IRFILmNP","Ja","Ich möchte die empfohlene Technik behalten","ELLObEoK","Nein","Ich möchte die empfohlene Technik behalten","2","2","4","2","5","1","5","1","5","2","","Weiblich","25","0","Studentin","Bachlor","","Komplette(r) Anfänger(in)"
"2017/10/26 10:22:10 am CET","O16BXGN6","Nein","Ich möchte die empfohlene Technik behalten","AaH5Sgec","Ja","Ich möchte die empfohlene Technik behalten","7hD28IIC","Nein","Ich habe in der Liste eine besser geeignete Technik gefunden","4","3","4","1","3","3","4","2","3","2","","Männlich","28","8","","Bachlor","Nein","Gelegentliche Anwendung von Kreativitätstechniken"
"2017/10/26 7:09:57 pm CET","k3cijyDv","Ja","Ich möchte die empfohlene Technik behalten","tT0P4UjF","Ja","Ich möchte die empfohlene Technik behalten","ZUSXQjSv","Ja","Ich möchte die empfohlene Technik behalten","4","1","5","1","5","1","5","1","5","1","","Weiblich","32","13","Kauffrau für Büromanagement","Gymnasium","","Regelmäßige Anwendung von Kreativitätstechniken"
"2017/10/27 10:36:14 am CET","ZHDtMTK0","Ja","Ich möchte die empfohlene Technik behalten","vOEFX7c2","Nein","Ich möchte die empfohlene Technik behalten","2xpu6Wzs","Ja","","2","3","3","3","4","3","4","3","2","5","","Männlich","39","20","Finanzbuchhalter","Gymnasium","","Komplette(r) Anfänger(in)"
"2017/10/27 8:39:29 pm CET","YykiBMiF","Nein","Ich habe in der Liste eine besser geeignete Technik gefunden","KcoMlb7u","Nein","Ich habe in der Liste eine besser geeignete Technik gefunden","te8wFLAE","Nein","Ich habe in der Liste eine besser geeignete Technik gefunden","1","5","3","1","3","3","2","3","1","1","Ich bevorzuge dynamisches Brainstorming mit Auflockerungen aus dieser Liste: ideaclouds.net/kreativit%C3%A4tstechniken","Möchte ich nicht sagen","","","","","Nichts per Defintion, aber umschrieben Brainstorming mit Teilelementen anderer","Regelmäßige Anwendung von Kreativitätstechniken"
"2017/10/29 4:33:43 pm CET","J9n5vMHF","Ja","Ich möchte die empfohlene Technik behalten","cX3tA4nX","Ja","Ich möchte die empfohlene Technik behalten","LkY67Cls","Ja","Ich möchte die empfohlene Technik behalten","4","1","4","1","5","1","4","2","5","1","","Männlich","39","15","Softwareentwickler","Master","nein","Grobe Vorstellung davon, was Kreativitätstechniken sind und wie man diese anwendet"
"2017/10/30 10:56:06 pm CET","TdbJ2cgU","Ja","Ich möchte die empfohlene Technik behalten","AAotLAvY","Nein","Ich habe in der Liste eine besser geeignete Technik gefunden","wxf0Q7e6","Ja","Ich möchte die empfohlene Technik behalten","3","3","2","1","3","2","4","2","3","1","","Männlich","23","1","","Gymnasium","Mindmap","Grobe Vorstellung davon, was Kreativitätstechniken sind und wie man diese anwendet"
"2017/10/31 12:20:52 am CET","ORiiewuS","Ja","Ich möchte die empfohlene Technik behalten","LWmUVUwA","Ja","Ich möchte die empfohlene Technik behalten","CB0OjJlM","Ja","Ich möchte die empfohlene Technik behalten","4","1","5","1","4","2","5","1","5","1","Teilweise wären noch ausführlichere Beschreibungen der Techniken hilfreich. Viele sind bereits gut und verständlich erklärt, aber bei den Beschreibungen mit nur ein paar Zeilen Länge, könnte noch weiter ausgeholt werden.","Weiblich","26","2","Seminarmanager","Bachlor","Brainstorming, 5 Ws","Gelegentliche Anwendung von Kreativitätstechniken"
"2017/10/31 2:12:55 am CET","4Z8ri6y4","Ja","Ich möchte die empfohlene Technik behalten","dt9WhWgD","Nein","Ich möchte die empfohlene Technik behalten","x6IJW4Ey","Nein","Ich habe in der Liste eine besser geeignete Technik gefunden","3","3","2","1","4","2","3","3","3","3","Texte in der Übersicht kürzen, nur bei Anklicken (=Interesse) dann Ausführlicher anzeigen; Parameter beim drüberfahren mit der Maus erklären (nicht auf Anhieb intuitiv genug); doppelt angezeigte Inhalte (Kreativitätstechniken) unterbinden.","Weiblich","21","0","Student","Gymnasium","Brainstorming, white board, notebook (?)","Gelegentliche Anwendung von Kreativitätstechniken"
"2017/11/01 8:50:14 am CET","E96hB34m","Ja","Ich habe in der Liste eine besser geeignete Technik gefunden","i66k4tnt","Ja","Ich möchte die empfohlene Technik behalten","FthqRS5Q","Ja","Ich möchte die empfohlene Technik behalten","2","4","2","2","2","3","2","3","3","2","","Weiblich","55","30","Diabetesberaterin","Realschule","","Grobe Vorstellung davon, was Kreativitätstechniken sind und wie man diese anwendet"
"2017/11/01 11:55:17 am CET","itMDw8ep","Ja","Ich möchte die empfohlene Technik behalten","ywcBPPZy","Ja","Ich möchte die empfohlene Technik behalten","mHcSCyQn","Ja","Ich möchte die empfohlene Technik behalten","4","2","4","3","5","1","3","2","4","1","","Weiblich","32","15","Unternehmerin","Master","","Regelmäßige Anwendung von Kreativitätstechniken"
"2017/11/01 5:29:34 pm CET","S3S21HFh","Ja","Ich möchte die empfohlene Technik behalten","aOPfufOl","Ja","Ich möchte die empfohlene Technik behalten","QJT7gdzk","Ja","Ich möchte die empfohlene Technik behalten","3","3","3","3","3","3","3","3","3","3","","Männlich","23","0","Student","Bachlor","","Komplette(r) Anfänger(in)"
"2017/11/02 9:55:47 am CET","DRbxBDPY","Ja","Ich möchte die empfohlene Technik behalten","DM0K1v2W","Ja","Ich habe in der Liste eine besser geeignete Technik gefunden","0pYwYhDn","Nein","Ich habe in der Liste eine besser geeignete Technik gefunden","3","1","4","1","4","2","4","3","3","3","Durch optische Unterstützung könnte das System als noch ""einfacher bedienbar"" wahrgenommen werden. Etwa ein ansprechenderer Aufbau der Seite oder Icons zur Unterstützung zur Erinnerung an die jeweilige Technik, wie es ja durch die Namen bereits zum Teil erreicht wird.","Männlich","40","22","Informatiker","Diplom","Nicht mit den formal definierten.","Gelegentliche Anwendung von Kreativitätstechniken"
"2017/11/02 7:34:59 pm CET","LH8f0ClC","Ja","Ich möchte die empfohlene Technik behalten","r0TqtY1G","Ja","Ich möchte die empfohlene Technik behalten","vWOGilsy","Ja","Ich möchte die empfohlene Technik behalten","2","2","4","2","5","1","4","1","4","1","","Weiblich","36","20","","Realschule","","Komplette(r) Anfänger(in)"
"2017/11/03 12:50:01 pm CET","QYTJMkqj","Ja","Ich möchte die empfohlene Technik behalten","yG1sLbNP","Nein","Ich habe in der Liste eine besser geeignete Technik gefunden","FOdR7Rg2","Ja","Ich möchte die empfohlene Technik behalten","4","2","4","1","4","3","4","1","4","1","Sollte auch im Internet Explorer funktionieren ;)","Weiblich","21","0","Studentin","Gymnasium","In diversen Kursen meines Studiums wurden verschiedene Techniken empfohlen bzw. diskutiert. ","Gelegentliche Anwendung von Kreativitätstechniken"
"2017/11/05 11:34:23 am CET","9oucmb5F","Ja","Ich möchte die empfohlene Technik behalten","PvwWgn1N","Ja","Ich möchte die empfohlene Technik behalten","YRbGfLQy","Ja","Ich möchte die empfohlene Technik behalten","4","2","5","1","4","1","5","1","4","1","","Männlich","25","0","","Gymnasium","","Komplette(r) Anfänger(in)"